S.NO.,BLOCK_CODE,GP_name,LGD_CODE,LAT,LONG,GP_SURVEY_CODE,Ring_Number,PHASE
0,1390,JANIKHURD,1390,28.964158,77.5585,NA,NA,NA
1,1390,JAMALPUR,264115,28.966492,77.59879,G001,B,3
2,1390,Kishori,78982,28.902514,77.52039,G002,C,1
3,1390,Mehpa,78986,28.944205,77.510692,G003,C,1
4,1390,Ghat,78976,28.947191,77.619971,G004,B,1
5,1390,Panchlikhurd,78992,28.966893,77.61315,G005,B,1
6,1390,Tikri,79002,28.977983,77.5541,G006,A,1
7,1390,Nek,78991,28.974652,77.531301,G007,A,1
8,1390,Kurali,78984,28.953998,77.527553,G008,A,1
9,1390,Raghunathpur,78994,28.959185,77.502602,G009,C,1
10,1390,Soharka,79001,28.928104,77.604505,G010,B,1
11,1390,Bafar,78965,28.958142,77.583974,G011,B,1
12,1390,Rasulpur_Dhaulri,78995,28.922499,77.479862,G012,C,1
13,1390,Puthari,78993,28.93395,77.566933,G013,B,1
14,1390,Ahera,78963,28.906729,77.551956,G014,B-L1,1
15,1390,Jani_Buzurg,78977,28.958369,77.553523,G015,B,1
16,1390,Janikhurd,78978,28.962932,77.560343,G016,A,1
17,1390,Timakia,79003,28.971907,77.516331,G017,C-L1,1
18,1390,Bhavi,78968,28.904246,77.497851,G018,C,1
19,1390,Rawa,78996,28.967773,77.491241,G019,C-L1,1
20,1390,Kalanjari,78979,28.936563,77.588342,G020,B,1
21,1390,Meerpur_Jakhera,78987,28.940841,77.470433,G021,C-L1,1
22,1390,Amanullapur,78964,29.012921,77.530744,G022,A,1
23,1390,Nagla_Kumbha,78990,28.927496,77.535681,G023,B,1
24,1390,Saleh_Nagar,78997,28.89238,77.534953,G024,B-L1,1
25,1390,Satwai,78998,29.010602,77.545679,G025,A,1
26,1390,Chobla,78969,28.990021,77.524879,G026,A,1
27,1390,Sisola_Khurd,79000,28.994622,77.571914,G027,A,1
28,1390,Dhadra,78970,29.003119,77.528152,G028,A,1
29,1390,Afzalpur_Pawti,78962,28.97878,77.609314,G029,B-L1,1
30,1390,Kitholi,78983,28.973653,77.591136,G030,B-L1,1
31,1390,Laharra,78985,28.913128,77.513195,G031,C,1
32,1390,Gejha,78975,28.91863,77.561935,G032,B-L1,1
33,1390,Dimoli,78973,28.907281,77.595599,G033,B-L1,1
34,1390,Kazmabadgoon,78980,28.89981,77.57194,G034,B-L1,1
35,1390,Behrampur_Morna,78967,28.98762,77.500451,G035,C-L1,1
36,1390,Muhamadpur_Dhumi,78988,28.973295,77.494008,G036,C-L1,1
37,1390,Behrampur_Khas,78966,28.987715,77.504877,G037,C-L1,1
38,1390,Khanpur,78981,28.929752,77.506676,G038,C,1
39,1390,Dhilaura,78971,28.962474,77.479268,G039,C-L1,1
40,1390,Sisola_Buzurg,78999,28.981665,77.567824,G040,A,1
41,1390,Faizabad_Pachgoan,78974,28.909862,77.535689,G041,B-L1,1
42,1390,Dhindala,78972,28.916529,77.587031,G042,B-L1,1
43,1390,Muzakkipur,78989,28.91938,77.539517,G043,B-L1,1
44,1390,CHANDAURA,264116,28.938183,77.551083,G044,B,3
